bandwidth,centrality,local_time,Instance,Edges,Nodes,Global Time (s)
1657,Eigenvector,0.010753393173217773,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1712,Eigenvector,0.011839151382446289,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1739,Eigenvector,0.010635852813720703,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1703,Eigenvector,0.01086282730102539,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1586,Eigenvector,0.011717081069946289,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1730,Eigenvector,0.01083993911743164,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1748,Eigenvector,0.011776447296142578,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1543,Eigenvector,0.011461257934570312,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1522,Eigenvector,0.010948657989501953,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1727,Eigenvector,0.010908365249633789,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1667,Eigenvector,0.010902166366577148,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1453,Eigenvector,0.010673284530639648,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1705,Eigenvector,0.011870622634887695,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1642,Eigenvector,0.010738372802734375,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1644,Eigenvector,0.01102304458618164,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1731,Eigenvector,0.01076197624206543,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1730,Eigenvector,0.010767459869384766,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1633,Eigenvector,0.011050224304199219,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1755,Eigenvector,0.010913848876953125,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1641,Eigenvector,0.010771036148071289,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1732,Eigenvector,0.011143922805786133,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1631,Eigenvector,0.010866880416870117,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1690,Eigenvector,0.01086282730102539,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1730,Eigenvector,0.010869503021240234,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1426,Eigenvector,0.011740684509277344,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1671,Eigenvector,0.011918783187866211,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1630,Eigenvector,0.01093912124633789,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1697,Eigenvector,0.010820150375366211,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1645,Eigenvector,0.011394977569580078,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1713,Harmonic Centrality,0.011054754257202148,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1602,Harmonic Centrality,0.011548519134521484,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1720,Harmonic Centrality,0.010801553726196289,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1633,Harmonic Centrality,0.01068258285522461,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1680,Harmonic Centrality,0.011456966400146484,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1622,Harmonic Centrality,0.010799407958984375,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1739,Harmonic Centrality,0.01090550422668457,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
